form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763797,SB21B.41073,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-27,64.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41074,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-02-28,151.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41075,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-01,52.10,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41076,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-02,239.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41077,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-03,211.47,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41078,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-06,156.30,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41079,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-07,59.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41080,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-09,230.40,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41081,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-10,8.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41082,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-13,520.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41083,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-14,14.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41084,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-15,135.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41085,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-16,220.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41086,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-17,104.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41087,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-20,117.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41088,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-21,128.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41089,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-22,19.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41090,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-23,173.10,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41091,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-24,55.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41092,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-27,44.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41093,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-28,124.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41094,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-29,39.30,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41095,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-30,159.20,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41096,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-03-31,150.57,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38837,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-04-03,144.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38838,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-04-04,303.60,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38839,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-04-05,124.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
