form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00405878,SB21B.30323,,,ORG,Rackspace,,,,,,1 Fanatical Place,City of Windcrest,San Antonio,TX,78218,,,2023-01-30,24.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30347,,,ORG,Rackspace,,,,,,1 Fanatical Place,City of Windcrest,San Antonio,TX,78218,,,2023-03-02,24.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30366,,,ORG,Rackspace,,,,,,1 Fanatical Place,City of Windcrest,San Antonio,TX,78218,,,2023-03-29,24.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30384,,,ORG,Rackspace,,,,,,1 Fanatical Place,City of Windcrest,San Antonio,TX,78218,,,2023-05-01,24.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30417,,,ORG,Rackspace,,,,,,1 Fanatical Place,City of Windcrest,San Antonio,TX,78218,,,2023-05-30,24.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30442,,,ORG,Rackspace,,,,,,1 Fanatical Place,City of Windcrest,San Antonio,TX,78218,,,2023-06-29,24.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30414,,,ORG,Residence Inn,,,,,,333 E Street Southwest,,Washington,DC,20024,,,2023-05-22,457.12,,dc trip lodging,002,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30313,,,ORG,SendInBlue,,,,,,111 So. Jackson street,,Seattle,WA,98104,,,2023-01-09,59.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30331,,,ORG,SendInBlue,,,,,,111 So. Jackson street,,Seattle,WA,98104,,,2023-02-07,59.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30354,,,ORG,SendInBlue,,,,,,111 So. Jackson street,,Seattle,WA,98104,,,2023-03-07,59.00,,email hosting,001,,,,,,,,,,,,,,,,,,,
