form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00571323,SB21B.8220,,,ORG,Sea Island,,,,,,100 Cloister Drive,,Sea Island,GA,31561,,,2023-10-16,283.60,,PAC Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8221,,,ORG,Sea Island,,,,,,100 Cloister Drive,,Sea Island,GA,31561,,,2023-10-16,13.20,,PAC Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8229,,,ORG,Sea Island,,,,,,100 Cloister Drive,,Sea Island,GA,31561,,,2023-10-16,48.40,,PAC Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8099,,,ORG,Sea Island Resort,,,,,,100 Cloister Dr,,Sea Island,GA,31561,,,2023-09-15,2836.71,,PAC - Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8041,,,ORG,Sea Island Resort,,,,,,100 Cloister Dr,,Sea Island,GA,31561,,,2023-12-07,1578.15,,PAC - Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7845,,,ORG,Senate Dining,,,,,,US Capitol Building,"Room S-110,",Washington,DC,20004,,,2023-07-12,34.00,,PAC - Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7846,,,ORG,Senate Dining,,,,,,US Capitol Building,"Room S-110,",Washington,DC,20004,,,2023-07-13,55.00,,PAC - Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8072,,,ORG,Senate Dining,,,,,,US Capitol Building,"Room S-110,",Washington,DC,20004,,,2023-09-08,16.00,,PAC - Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8098,,,ORG,Senate Dining,,,,,,US Capitol Building,"Room S-110,",Washington,DC,20004,,,2023-09-13,70.00,,PAC - Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8222,,,ORG,Senate Dining,,,,,,US Capitol Building,"Room S-110,",Washington,DC,20004,,,2023-10-20,56.00,,PAC Food/Beverage,,,,,,,,,,,,,,,,,,,,
