form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00754069,501068668,,,ORG,ActBlue Technical Services,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2023-06-30,7802.04,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068854,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-01-09,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068862,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-01-10,10.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068870,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-01-10,3.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068876,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-01-10,1.50,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068853,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-01-17,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068852,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-01-23,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068851,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-01-30,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068850,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-02-01,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068834,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-02-08,30.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068861,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-02-08,10.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068869,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-02-08,3.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068875,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-02-08,1.50,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068860,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-03-08,10.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068865,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-03-08,6.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068868,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-03-08,3.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068874,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-03-08,1.50,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068833,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-04-03,30.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068859,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-04-10,10.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068864,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-04-10,6.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068873,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-04-10,1.50,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068832,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-04-18,30.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068831,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-04-28,30.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068847,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-04-28,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068848,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-04-28,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068849,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-04-28,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068846,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-05-01,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068845,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-05-08,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068858,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-05-08,10.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068863,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-05-08,6.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068867,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-05-08,3.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068871,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-05-08,2.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068830,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-05-11,30.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068844,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-05-15,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068843,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-05-22,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068842,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-05-30,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068841,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-06-01,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068840,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-06-05,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068839,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-06-08,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068857,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-06-08,10.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068866,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-06-08,3.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068872,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-06-08,1.50,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068829,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-06-12,30.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068838,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-06-12,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068837,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-06-20,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068836,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-06-26,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068835,,,ORG,Wells Fargo Bank,,,,,,1934 14th St NW,,Washington,DC,200094431,,,2023-06-27,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
