form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00409730,17060070C,17060070,SA11C,CCM,Friends Of Don Beyer,,,,,,1751 Potomac Greens Dr,,Alexandria,VA,223146233,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00555888,,,Beyer,Donald,,,Jr.,H,VA,08,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17052332C,17052332,SA11C,CCM,Friends Of Raja For Congress,,,,,,PO Box 681202,,Schaumburg,IL,601681202,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00575092,,,Krishnamoorthi,S. Raja,,,,H,IL,08,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17031685C,17031685,SA11C,CCM,Gabe Vasquez For Congress,,,,,,PO Box L,,Mesilla,NM,880464612,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00789404,,,VASQUEZ,GABRIEL,,,,H,NM,02,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031792C,17031792,SA11C,CCM,Gabe Vasquez For Congress,,,,,,PO Box L,,Mesilla,NM,880464612,,,2024-03-18,500.00,0.00,Conduit Contribution,,C00789404,,,VASQUEZ,GABRIEL,,,,H,NM,02,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,17042208C,17042208,SA11C,CCM,Gabe Vasquez For Congress,,,,,,PO Box L,,Mesilla,NM,880464612,,,2024-03-21,2300.00,0.00,Conduit Contribution,,C00789404,,,VASQUEZ,GABRIEL,,,,H,NM,02,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17042216C,17042216,SA11C,CCM,Gabe Vasquez For Congress,,,,,,PO Box L,,Mesilla,NM,880464612,,,2024-03-21,2000.00,0.00,Conduit Contribution,,C00789404,,,VASQUEZ,GABRIEL,,,,H,NM,02,,,,,,,X,Earmarked by Salud Carbajal For Congress
SB23,C00409730,17031702C,17031702,SA11C,CCM,GEORGE WHITESIDES FOR CONGRESS,,,,,,PO Box 221776,,Newhall,CA,913221776,,,2024-03-18,5000.00,0.00,Conduit Contribution,,C00834028,,,WHITESIDES,GEORGE,,,,H,CA,27,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031705C,17031705,SA11C,CCM,GEORGE WHITESIDES FOR CONGRESS,,,,,,PO Box 221776,,Newhall,CA,913221776,,,2024-03-18,2000.00,0.00,Conduit Contribution,,C00834028,,,WHITESIDES,GEORGE,,,,H,CA,27,,,,,,,X,Earmarked by People For Derek Kilmer
SB23,C00409730,17052317C,17052317,SA11C,PAC,GETTING RESULTS BY ENGAGING THE GRASSROOTS (GREG PAC),,,,,,910 17Th St NW,Ste 925,Washington,DC,200062641,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00758862,GETTING RESULTS BY ENGAGING THE GRASSROOTS (GREG PAC),,,,,,,,,,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407823,,,CCM,Glenn Ivey For Congress,,,,,,PO Box 85,,Bladensburg,MD,207100085,P2024,,2024-03-06,1000.00,0.00,Contribution,,C00792283,,,IVEY,GLENN,,,,H,MD,04,,,,,,,,
SB23,C00409730,17052333C,17052333,SA11C,CCM,Glenn Ivey For Congress,,,,,,PO Box 85,,Bladensburg,MD,207100085,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00792283,,,IVEY,GLENN,,,,H,MD,04,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17060138C,17060138,SA11C,CCM,Haley Stevens For Congress,,,,,,33717 Woodward Ave,# 539,Birmingham,MI,480090913,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00638650,,,Stevens,Haley,,,,H,MI,11,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17031651C,17031651,SA11C,CCM,Himes For Congress,,,,,,857 Post Rd,# 312,Fairfield,CT,068246041,,,2024-03-18,2500.00,0.00,Conduit Contribution,,C00434191,,,Himes,Jim,,,,H,CT,04,,,,,,,X,Earmarked by National Multi Housing Council Political Action Committee
SB23,C00409730,17057608C,17057608,SA11C,CCM,JOE MORELLE FOR CONGRESS,,,,,,PO Box 90914,,Rochester,NY,146090914,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00675108,,,MORELLE,JOSEPH D,,,,H,NY,25,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,17060101C,17060101,SA11C,CCM,JOE MORELLE FOR CONGRESS,,,,,,PO Box 90914,,Rochester,NY,146090914,,,2024-03-27,1500.00,0.00,Conduit Contribution,,C00675108,,,MORELLE,JOSEPH D,,,,H,NY,25,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17052336C,17052336,SA11C,CCM,Josh Gottheimer For Congress,,,,,,PO Box 584,,Ridgewood,NJ,074510584,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00573949,,,Gottheimer,Josh,,,,H,NJ,05,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17072230C,17072230,SA11C,CCM,Josh Gottheimer For Congress,,,,,,PO Box 584,,Ridgewood,NJ,074510584,,,2024-03-28,1000.00,0.00,Conduit Contribution,,C00573949,,,Gottheimer,Josh,,,,H,NJ,05,,,,,,,X,Earmarked by Boehringer Ingelheim USA Corporation PAC
SB23,C00409730,500407832,,,CCM,Julia Brownley For Congress,,,,,,PO Box 2018,,Thousand Oaks,CA,913582018,P2024,,2024-03-04,2500.00,0.00,Contribution,,C00513077,,,Brownley,Julia,,,,H,CA,26,,,,,,,,
SB23,C00409730,17052331C,17052331,SA11C,CCM,"Kuster For Congress, Inc.",,,,,,PO Box 1498,,Concord,NH,033021498,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00462861,,,Kuster,Ann,,,,H,NH,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17031621C,17031621,SA11C,CCM,LANDSMAN FOR CONGRESS,,,,,,PO Box 413,,Cincinnati,OH,452010413,,,2024-03-18,2000.00,0.00,Conduit Contribution,,C00800276,,,LANDSMAN,GREG,,,,H,OH,01,,,,,,,X,Earmarked by Schneider For Congress
SB23,C00409730,17031692C,17031692,SA11C,CCM,LANDSMAN FOR CONGRESS,,,,,,PO Box 413,,Cincinnati,OH,452010413,,,2024-03-18,4000.00,0.00,Conduit Contribution,,C00800276,,,LANDSMAN,GREG,,,,H,OH,01,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17042200C,17042200,SA11C,CCM,LANDSMAN FOR CONGRESS,,,,,,PO Box 413,,Cincinnati,OH,452010413,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00800276,,,LANDSMAN,GREG,,,,H,OH,01,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17001341C,17001341,SA11C,CCM,LISA BLUNT ROCHESTER FOR SENATE,,,,,,PO Box 9767,,Wilmington,DE,198090767,,,2024-03-06,2500.00,0.00,Conduit Contribution,,C00843391,,,BLUNT ROCHESTER,LISA,,,,S,DE,00,,,,,,,X,"Earmarked by T-MOBILE USA, INC.  POLITICAL ACTION COMMITTEE (T-PAC)"
SB23,C00409730,16988531C,16988531,SA11C,CCM,Lou Correa For Congress,,,,,,420 N Twin Oaks Valley Rd,Unit 2229,San Marcos,CA,920797090,,,2024-03-04,5000.00,0.00,Conduit Contribution,,C00578302,,,Correa,Jose Luis,,,,H,CA,46,,,,,,,X,Earmarked by National Multi Housing Council Political Action Committee
SB23,C00409730,16988529C,16988529,SA11C,CCM,MAD4PA PAC,,,,,,PO Box 444,,Glenside,PA,190380444,,,2024-03-04,3000.00,0.00,Conduit Contribution,,C00670844,,,Dean,Madeleine,,,,H,PA,04,,,,,,,X,Earmarked by Ally Financial Inc. Advocacy PAC
SB23,C00409730,17052340C,17052340,SA11C,CCM,MAD4PA PAC,,,,,,PO Box 444,,Glenside,PA,190380444,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00670844,,,Dean,Madeleine,,,,H,PA,04,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407834,,,PAC,MAKING A REAL CHANGE - MARC PAC,,,,,,499 S Capitol St SW,Ste 422,Washington,DC,200034028,,,2024-03-06,1000.00,0.00,Contribution,,C00562330,MAKING A REAL CHANGE - MARC PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,16988534C,16988534,SA11C,CCM,Marc Veasey Congressional Campaign Committee,,,,,,PO Box 50084,,Fort Worth,TX,761050084,,,2024-03-04,5000.00,0.00,Conduit Contribution,,C00506832,,,Veasey,Marc,,,,H,TX,33,,,,,,,X,Earmarked by National Multi Housing Council Political Action Committee
SB23,C00409730,17052329C,17052329,SA11C,CCM,MCCLELLAN FOR CONGRESS,,,,,,PO Box 818,,Richmond,VA,232180818,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00829812,,,MCCLELLAN,JENNIFER,,,,H,VA,04,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407835,,,CCM,MCCLELLAN FOR CONGRESS,,,,,,PO Box 818,,Richmond,VA,232180818,P2024,,2024-03-26,1000.00,0.00,Contribution,,C00829812,,,MCCLELLAN,JENNIFER,,,,H,VA,04,,,,,,,,
SB23,C00409730,17072182C,17072182,SA11C,CCM,Mikie Sherrill For Congress,,,,,,PO Box 43032,,Montclair,NJ,070430032,,,2024-03-28,1000.00,0.00,Conduit Contribution,,C00640003,,,Sherrill,Rebecca Michelle,,,,H,NJ,11,,,,,,,X,Earmarked by Boehringer Ingelheim USA Corporation PAC
SB23,C00409730,17060107C,17060107,SA11C,CCM,Moulton For Congress,,,,,,PO Box 2013,,Salem,MA,019706213,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00547240,,,Moulton,Seth,,,,H,MA,06,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407837,,,CCM,MRVAN FOR CONGRESS,,,,,,PO Box 55,,Crown Point,IN,463080055,G2024,,2024-03-06,1000.00,0.00,Contribution,,C00727529,,,MRVAN,FRANK J,,,,H,IN,01,,,,,,,,
SB23,C00409730,17031677C,17031677,SA11C,CCM,MRVAN FOR CONGRESS,,,,,,PO Box 55,,Crown Point,IN,463080055,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00727529,,,MRVAN,FRANK J,,,,H,IN,01,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031786C,17031786,SA11C,CCM,MRVAN FOR CONGRESS,,,,,,PO Box 55,,Crown Point,IN,463080055,,,2024-03-18,500.00,0.00,Conduit Contribution,,C00727529,,,MRVAN,FRANK J,,,,H,IN,01,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,17042213C,17042213,SA11C,CCM,MRVAN FOR CONGRESS,,,,,,PO Box 55,,Crown Point,IN,463080055,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00727529,,,MRVAN,FRANK J,,,,H,IN,01,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17052328C,17052328,SA11C,CCM,MRVAN FOR CONGRESS,,,,,,PO Box 55,,Crown Point,IN,463080055,,,2024-03-25,2000.00,0.00,Conduit Contribution,,C00727529,,,MRVAN,FRANK J,,,,H,IN,01,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17053570C,17053570,SA11C,CCM,MRVAN FOR CONGRESS,,,,,,PO Box 55,,Crown Point,IN,463080055,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00727529,,,MRVAN,FRANK J,,,,H,IN,01,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,500407838,,,CCM,Nevadans For Steven Horsford,,,,,,PO Box 336664,,North Las Vegas,NV,890336664,G2024,,2024-03-06,1000.00,0.00,Contribution,,C00668228,,,Horsford,Steven,A.,,,H,NV,04,,,,,,,,
SB23,C00409730,17031690C,17031690,SA11C,CCM,Nevadans For Steven Horsford,,,,,,PO Box 336664,,North Las Vegas,NV,890336664,,,2024-03-18,2000.00,0.00,Conduit Contribution,,C00668228,,,Horsford,Steven,A.,,,H,NV,04,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17042199C,17042199,SA11C,CCM,Nevadans For Steven Horsford,,,,,,PO Box 336664,,North Las Vegas,NV,890336664,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00668228,,,Horsford,Steven,A.,,,H,NV,04,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17052355C,17052355,SA11C,CCM,Nevadans For Steven Horsford,,,,,,PO Box 336664,,North Las Vegas,NV,890336664,,,2024-03-25,2000.00,0.00,Conduit Contribution,,C00668228,,,Horsford,Steven,A.,,,H,NV,04,,,,,,,X,Earmarked by Ally Financial Inc. Advocacy PAC
SB23,C00409730,17053568C,17053568,SA11C,CCM,Nevadans For Steven Horsford,,,,,,PO Box 336664,,North Las Vegas,NV,890336664,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00668228,,,Horsford,Steven,A.,,,H,NV,04,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17058556C,17058556,SA11C,CCM,Nevadans For Steven Horsford,,,,,,PO Box 336664,,North Las Vegas,NV,890336664,,,2024-03-27,500.00,0.00,Conduit Contribution,,C00668228,,,Horsford,Steven,A.,,,H,NV,04,,,,,,,X,Earmarked by Elevance Health PAC (Formerly Anthem PAC)
SB23,C00409730,17058557C,17058557,SA11C,CCM,Nevadans For Steven Horsford,,,,,,PO Box 336664,,North Las Vegas,NV,890336664,,,2024-03-27,2000.00,0.00,Conduit Contribution,,C00668228,,,Horsford,Steven,A.,,,H,NV,04,,,,,,,X,Earmarked by Elevance Health PAC (Formerly Anthem PAC)
SB23,C00409730,17052313C,17052313,SA11C,PAC,New Opportunity For Real Monumental Action PAC,,,,,,728 W Edna Pl,,Covina,CA,917223222,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00571570,New Opportunity For Real Monumental Action PAC,,,,,,,,,,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407840,,,CCM,Nikki For Congress,,,,,,PO Box 5171,,Springfield,IL,627055171,G2024,,2024-03-06,1000.00,0.00,Contribution,,C00787812,,,BUDZINSKI,NIKKI,,,,H,IL,13,,,,,,,,
SB23,C00409730,17023151C,17023151,SA11C,CCM,Nikki For Congress,,,,,,PO Box 5171,,Springfield,IL,627055171,,,2024-03-14,2000.00,0.00,Conduit Contribution,,C00787812,,,BUDZINSKI,NIKKI,,,,H,IL,13,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17031672C,17031672,SA11C,CCM,Nikki For Congress,,,,,,PO Box 5171,,Springfield,IL,627055171,,,2024-03-18,5000.00,0.00,Conduit Contribution,,C00787812,,,BUDZINSKI,NIKKI,,,,H,IL,13,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17042212C,17042212,SA11C,CCM,Nikki For Congress,,,,,,PO Box 5171,,Springfield,IL,627055171,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00787812,,,BUDZINSKI,NIKKI,,,,H,IL,13,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17057625C,17057625,SA11C,PAC,PAC IN THE SADDLE,,,,,,PO Box 150887,,Lakewood,CO,802150887,,,2024-03-27,5000.00,0.00,Conduit Contribution,,C00829408,PAC IN THE SADDLE,,,,,,,,,,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,17031691C,17031691,SA11C,CCM,Pat Ryan For Congress,,,,,,PO Box 2113,,Kingston,NY,124022113,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00815290,,,RYAN,PATRICK,,,,H,NY,18,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031787C,17031787,SA11C,CCM,Pat Ryan For Congress,,,,,,PO Box 2113,,Kingston,NY,124022113,,,2024-03-18,500.00,0.00,Conduit Contribution,,C00815290,,,RYAN,PATRICK,,,,H,NY,18,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,17053574C,17053574,SA11C,CCM,Pat Ryan For Congress,,,,,,PO Box 2113,,Kingston,NY,124022113,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00815290,,,RYAN,PATRICK,,,,H,NY,18,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17022976C,17022976,SA11C,PAC,PROTECTING AMERICANS CHALLENGING OPPRESSION (PACO) PAC,,,,,,374 N Coast Highway 101,Ste 2,Encinitas,CA,920242542,,,2024-03-14,2500.00,0.00,Conduit Contribution,,C00723577,PROTECTING AMERICANS CHALLENGING OPPRESSION (PACO) PAC,,,,,,,,,,,,,,,,X,Earmarked by National Multi Housing Council Political Action Committee
SB23,C00409730,500407844,,,PAC,Puget PAC,,,,,,410 1St St SE,Ste 310,Washington,DC,200031866,,,2024-03-06,1000.00,0.00,Contribution,,C00551168,Puget PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,17060128C,17060128,SA11C,CCM,Quigley For Congress,,,,,,PO Box 13040,,Chicago,IL,606130040,,,2024-03-27,2000.00,0.00,Conduit Contribution,,C00457556,,,Quigley,Mike,,,,H,IL,05,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17052347C,17052347,SA11C,CCM,Salud Carbajal For Congress,,,,,,PO Box 1290,,Santa Barbara,CA,931021290,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00576041,,,Carbajal,Salud,,,,H,CA,24,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17060097C,17060097,SA11C,CCM,SARA JACOBS FOR CONGRESS,,,,,,PO Box 120085,,San Diego,CA,921120085,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00719559,,,JACOBS,SARA,,,,H,CA,53,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17060129C,17060129,SA11C,CCM,SCANLON FOR CONGRESS,,,,,,PO Box 263,,Swarthmore,PA,190810263,,,2024-03-27,1500.00,0.00,Conduit Contribution,,C00669358,,,SCANLON,MARY,GAY,,,H,PA,05,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17060130C,17060130,SA11C,CCM,SCANLON FOR CONGRESS,,,,,,PO Box 263,,Swarthmore,PA,190810263,,,2024-03-27,500.00,0.00,Conduit Contribution,,C00669358,,,SCANLON,MARY,GAY,,,H,PA,05,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17072254C,17072254,SA11C,CCM,Schneider For Congress,,,,,,PO Box 1318,,Deerfield,IL,600156005,,,2024-03-28,1000.00,0.00,Conduit Contribution,,C00495952,,,Schneider,Bradley,,,,H,IL,10,,,,,,,X,Earmarked by Boehringer Ingelheim USA Corporation PAC
SB23,C00409730,500407846,,,CCM,SCHOLTEN FOR CONGRESS,,,,,,PO Box 6233,,Grand Rapids,MI,495166233,G2024,,2024-03-06,1000.00,0.00,Contribution,,C00711317,,,SCHOLTEN,HILLARY,,,,H,MI,03,,,,,,,,
SB23,C00409730,17031679C,17031679,SA11C,CCM,SCHOLTEN FOR CONGRESS,,,,,,PO Box 6233,,Grand Rapids,MI,495166233,,,2024-03-18,2000.00,0.00,Conduit Contribution,,C00711317,,,SCHOLTEN,HILLARY,,,,H,MI,03,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17042193C,17042193,SA11C,CCM,SCHOLTEN FOR CONGRESS,,,,,,PO Box 6233,,Grand Rapids,MI,495166233,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00711317,,,SCHOLTEN,HILLARY,,,,H,MI,03,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17052321C,17052321,SA11C,CCM,SCHOLTEN FOR CONGRESS,,,,,,PO Box 6233,,Grand Rapids,MI,495166233,,,2024-03-25,1500.00,0.00,Conduit Contribution,,C00711317,,,SCHOLTEN,HILLARY,,,,H,MI,03,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17053577C,17053577,SA11C,CCM,SCHOLTEN FOR CONGRESS,,,,,,PO Box 6233,,Grand Rapids,MI,495166233,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00711317,,,SCHOLTEN,HILLARY,,,,H,MI,03,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17058551C,17058551,SA11C,CCM,SCHOLTEN FOR CONGRESS,,,,,,PO Box 6233,,Grand Rapids,MI,495166233,,,2024-03-27,1000.00,0.00,Conduit Contribution,,C00711317,,,SCHOLTEN,HILLARY,,,,H,MI,03,,,,,,,X,Earmarked by Elevance Health PAC (Formerly Anthem PAC)
SB23,C00409730,16988532C,16988532,SA11C,CCM,Scott Peters For Congress,,,,,,PO Box 70980,,Washington,DC,200240980,,,2024-03-04,2500.00,0.00,Conduit Contribution,,C00503110,,,PETERS,SCOTT,,,,H,CA,50,,,,,,,X,Earmarked by National Multi Housing Council Political Action Committee
SB23,C00409730,17052326C,17052326,SA11C,CCM,Scott Peters For Congress,,,,,,PO Box 70980,,Washington,DC,200240980,,,2024-03-25,2000.00,0.00,Conduit Contribution,,C00503110,,,PETERS,SCOTT,,,,H,CA,50,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407847,,,CCM,Sharice For Congress,,,,,,13851 W 63Rd St,Num 303,Shawnee,KS,662163800,G2024,,2024-03-06,1000.00,0.00,Contribution,,C00670034,,,Davids,Sharice,,,,H,KS,03,,,,,,,,
SB23,C00409730,17017977C,17017977,SA11AI,CCM,Sharice For Congress,,,,,,13851 W 63Rd St,Num 303,Shawnee,KS,662163800,,,2024-03-13,500.00,0.00,Conduit Contribution,,C00670034,,,Davids,Sharice,,,,H,KS,03,,,,,,,X,Earmarked by Steven Schultz
SB23,C00409730,17022969C,17022969,SA11AI,CCM,Sharice For Congress,,,,,,13851 W 63Rd St,Num 303,Shawnee,KS,662163800,,,2024-03-13,500.00,0.00,Conduit Contribution,,C00670034,,,Davids,Sharice,,,,H,KS,03,,,,,,,X,Earmarked by Julie. Nicole Bivens Collinson
SB23,C00409730,17031678C,17031678,SA11C,CCM,Sharice For Congress,,,,,,13851 W 63Rd St,Num 303,Shawnee,KS,662163800,,,2024-03-18,4000.00,0.00,Conduit Contribution,,C00670034,,,Davids,Sharice,,,,H,KS,03,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17042192C,17042192,SA11C,CCM,Sharice For Congress,,,,,,13851 W 63Rd St,Num 303,Shawnee,KS,662163800,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00670034,,,Davids,Sharice,,,,H,KS,03,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17052341C,17052341,SA11C,CCM,Sharice For Congress,,,,,,13851 W 63Rd St,Num 303,Shawnee,KS,662163800,,,2024-03-25,1500.00,0.00,Conduit Contribution,,C00670034,,,Davids,Sharice,,,,H,KS,03,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17052342C,17052342,SA11C,CCM,Sharice For Congress,,,,,,13851 W 63Rd St,Num 303,Shawnee,KS,662163800,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00670034,,,Davids,Sharice,,,,H,KS,03,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17053564C,17053564,SA11C,CCM,Sharice For Congress,,,,,,13851 W 63Rd St,Num 303,Shawnee,KS,662163800,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00670034,,,Davids,Sharice,,,,H,KS,03,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17052316C,17052316,SA11C,CCM,STRICKLAND FOR WASHINGTON,,,,,,1625 E 72Nd St,Ste 700 Pmb 139,Tacoma,WA,984045455,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00732826,,,STRICKLAND,MARILYN,,,,H,WA,10,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17058552C,17058552,SA11C,CCM,STRICKLAND FOR WASHINGTON,,,,,,1625 E 72Nd St,Ste 700 Pmb 139,Tacoma,WA,984045455,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00732826,,,STRICKLAND,MARILYN,,,,H,WA,10,,,,,,,X,Earmarked by Elevance Health PAC (Formerly Anthem PAC)
SB23,C00409730,500407851,,,PAC,Supporting House Problem Solvers - SHP PAC,,,,,,910 17Th St NW,Ste 925,Washington,DC,200062641,,,2024-03-06,1000.00,0.00,Contribution,,C00563601,Supporting House Problem Solvers - SHP PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,17001349C,17001349,SA11C,CCM,Susan Wild For Congress,,,,,,1636 N Cedar Crest Blvd,# 183,Allentown,PA,181042318,,,2024-03-06,1000.00,0.00,Conduit Contribution,,C00658567,,,Wild,Susan,,,,H,PA,07,,,,,,,X,Earmarked by GETTING RESULTS BY ENGAGING THE GRASSROOTS (GREG PAC)
SB23,C00409730,500407852,,,CCM,Susan Wild For Congress,,,,,,1636 N Cedar Crest Blvd,# 183,Allentown,PA,181042318,G2024,,2024-03-06,1000.00,0.00,Contribution,,C00658567,,,Wild,Susan,,,,H,PA,07,,,,,,,,
SB23,C00409730,17031695C,17031695,SA11C,CCM,Susan Wild For Congress,,,,,,1636 N Cedar Crest Blvd,# 183,Allentown,PA,181042318,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00658567,,,Wild,Susan,,,,H,PA,07,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031794C,17031794,SA11C,CCM,Susan Wild For Congress,,,,,,1636 N Cedar Crest Blvd,# 183,Allentown,PA,181042318,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00658567,,,Wild,Susan,,,,H,PA,07,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,17042202C,17042202,SA11C,CCM,Susan Wild For Congress,,,,,,1636 N Cedar Crest Blvd,# 183,Allentown,PA,181042318,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00658567,,,Wild,Susan,,,,H,PA,07,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17053582C,17053582,SA11C,CCM,Susan Wild For Congress,,,,,,1636 N Cedar Crest Blvd,# 183,Allentown,PA,181042318,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00658567,,,Wild,Susan,,,,H,PA,07,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17001348C,17001348,SA11C,CCM,Susie Lee For Congress,,,,,,5130 S Fort Apache Rd,Ste 215 Pmb 382,Las Vegas,NV,891481732,,,2024-03-06,1000.00,0.00,Conduit Contribution,,C00655613,,,Lee,Susie,,,,H,NV,03,,,,,,,X,Earmarked by GETTING RESULTS BY ENGAGING THE GRASSROOTS (GREG PAC)
